protein	gene	uniprot	version	panel	sumstat_dir	chr	tss	gene_start	gene_end	strand	gene_id	annotation_matches	annotation_status	resource_source
OID30089	NECAP2	Q9NVZ3	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/NECAP2_Q9NVZ3_OID30089_v1_Cardiometabolic_II	1	16440672	16440672	16460078	1	ENSG00000157191	1	unique_match	UKBB_EUR
OID30090	RBM19	Q9Y4C8	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/RBM19_Q9Y4C8_OID30090_v1_Cardiometabolic_II	12	113966371	113816738	113966371	-1	ENSG00000122965	1	unique_match	UKBB_EUR
OID30091	CYP24A1	Q07973	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CYP24A1_Q07973_OID30091_v1_Cardiometabolic_II	20	54173973	54153449	54173973	-1	ENSG00000019186	1	unique_match	UKBB_EUR
OID30092	KRT17	Q04695	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/KRT17_Q04695_OID30092_v1_Cardiometabolic_II	17	41624842	41619437	41624842	-1	ENSG00000128422	1	unique_match	UKBB_EUR
OID30093	BRD3	Q15059	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/BRD3_Q15059_OID30093_v1_Cardiometabolic_II	9	134068535	134030305	134068535	-1	ENSG00000169925	1	unique_match	UKBB_EUR
OID30094	ERVV-1	B6SEH8	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ERVV-1_B6SEH8_OID30094_v1_Cardiometabolic_II	19	53013921	53013921	53016122	1	ENSG00000269526	1	unique_match	UKBB_EUR
OID30095	TSPAN15	O95858	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TSPAN15_O95858_OID30095_v1_Cardiometabolic_II	10	69451473	69451473	69507669	1	ENSG00000099282	1	unique_match	UKBB_EUR
OID30096	UBQLN3	Q9H347	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/UBQLN3_Q9H347_OID30096_v1_Cardiometabolic_II	11	5509985	5507300	5509985	-1	ENSG00000175520	1	unique_match	UKBB_EUR
OID30097	CD2	P06729	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CD2_P06729_OID30097_v1_Cardiometabolic_II	1	116754385	116754385	116769228	1	ENSG00000116824	1	unique_match	UKBB_EUR
OID30098	SHD	Q96IW2	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SHD_Q96IW2_OID30098_v1_Cardiometabolic_II	19	4278601	4278601	4290724	1	ENSG00000105251	1	unique_match	UKBB_EUR
OID30099	MEGF11	A6BM72	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MEGF11_A6BM72_OID30099_v1_Cardiometabolic_II	15	66253747	65895079	66253747	-1	ENSG00000157890	1	unique_match	UKBB_EUR
OID30100	NUP50	Q9UKX7	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/NUP50_Q9UKX7_OID30100_v1_Cardiometabolic_II	22	45163841	45163841	45188015	1	ENSG00000093000	1	unique_match	UKBB_EUR
OID30101	PGLYRP4	Q96LB8	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PGLYRP4_Q96LB8_OID30101_v1_Cardiometabolic_II	1	153348840	153330120	153348840	-1	ENSG00000163218	1	unique_match	UKBB_EUR
OID30102	NUDT15	Q9NV35	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/NUDT15_Q9NV35_OID30102_v1_Cardiometabolic_II	13	48037567	48037567	48047222	1	ENSG00000136159	1	unique_match	UKBB_EUR
OID30103	TEF	Q10587	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TEF_Q10587_OID30103_v1_Cardiometabolic_II	22	41367333	41367333	41399326	1	ENSG00000167074	1	unique_match	UKBB_EUR
OID30104	SCGB2A2	Q13296	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SCGB2A2_Q13296_OID30104_v1_Cardiometabolic_II	11	62270155	62270155	62273156	1	ENSG00000110484	1	unique_match	UKBB_EUR
OID30105	NEB	P20929	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/NEB_P20929_OID30105_v1_Cardiometabolic_II	2	151734487	151485336	151734487	-1	ENSG00000183091	2	multi_match_first	UKBB_EUR
OID30106	CPTP	Q5TA50	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CPTP_Q5TA50_OID30106_v1_Cardiometabolic_II	1	1324756	1324756	1328897	1	ENSG00000224051	1	unique_match	UKBB_EUR
OID30107	SLC51B	Q86UW2	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SLC51B_Q86UW2_OID30107_v1_Cardiometabolic_II	15	65045370	65045370	65053396	1	ENSG00000186198	1	unique_match	UKBB_EUR
OID30108	TTN	Q8WZ42	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TTN_Q8WZ42_OID30108_v1_Cardiometabolic_II	2	178830802	178525989	178830802	-1	ENSG00000155657	3	multi_match_first	UKBB_EUR
OID30109	GASK1A	Q9UFP1	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GASK1A_Q9UFP1_OID30109_v1_Cardiometabolic_II							0	missing	UKBB_EUR
OID30110	MTR	Q99707	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MTR_Q99707_OID30110_v1_Cardiometabolic_II	1	236795281	236795281	236903981	1	ENSG00000116984	1	unique_match	UKBB_EUR
OID30111	SAT1	P21673	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SAT1_P21673_OID30111_v1_Cardiometabolic_II	23	23783173	23783173	23786226	1	ENSG00000130066	1	unique_match	UKBB_EUR
OID30112	IGF2BP3	O00425	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/IGF2BP3_O00425_OID30112_v1_Cardiometabolic_II	7	23470467	23310209	23470467	-1	ENSG00000136231	1	unique_match	UKBB_EUR
OID30113	SART1	O43290	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SART1_O43290_OID30113_v1_Cardiometabolic_II	11	65961689	65961689	65979828	1	ENSG00000175467	1	unique_match	UKBB_EUR
OID30114	EXTL1	Q92935	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/EXTL1_Q92935_OID30114_v1_Cardiometabolic_II	1	26019884	26019884	26036464	1	ENSG00000158008	1	unique_match	UKBB_EUR
OID30115	CEP112	Q8N8E3	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CEP112_Q8N8E3_OID30115_v1_Cardiometabolic_II	17	66192084	65635538	66192084	-1	ENSG00000154240	1	unique_match	UKBB_EUR
OID30116	NPR1	P16066	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/NPR1_P16066_OID30116_v1_Cardiometabolic_II	1	153678637	153678637	153693992	1	ENSG00000169418	1	unique_match	UKBB_EUR
OID30117	ZCCHC8	Q6NZY4	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ZCCHC8_Q6NZY4_OID30117_v1_Cardiometabolic_II	12	122501073	122471600	122501073	-1	ENSG00000033030	1	unique_match	UKBB_EUR
OID30118	ATP1B2	P14415	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ATP1B2_P14415_OID30118_v1_Cardiometabolic_II	17	7646627	7646627	7657768	1	ENSG00000129244	1	unique_match	UKBB_EUR
OID30119	USP47	Q96K76	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/USP47_Q96K76_OID30119_v1_Cardiometabolic_II	11	11841423	11841423	11959323	1	ENSG00000170242	1	unique_match	UKBB_EUR
OID30120	MYL1	P05976	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MYL1_P05976_OID30120_v1_Cardiometabolic_II	2	210315190	210290150	210315190	-1	ENSG00000168530	1	unique_match	UKBB_EUR
OID30121	ARL2BP	Q9Y2Y0	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ARL2BP_Q9Y2Y0_OID30121_v1_Cardiometabolic_II	16	57245098	57245098	57253635	1	ENSG00000102931	1	unique_match	UKBB_EUR
OID30122	RAB33A	Q14088	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/RAB33A_Q14088_OID30122_v1_Cardiometabolic_II	23	130171649	130171649	130184870	1	ENSG00000134594	1	unique_match	UKBB_EUR
OID30123	IGHMBP2	P38935	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/IGHMBP2_P38935_OID30123_v1_Cardiometabolic_II	11	68903842	68903842	68940602	1	ENSG00000132740	2	multi_match_first	UKBB_EUR
OID30124	ATP1B1	P05026	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ATP1B1_P05026_OID30124_v1_Cardiometabolic_II	1	169105697	169105697	169132722	1	ENSG00000143153	1	unique_match	UKBB_EUR
OID30125	PMM2	O15305	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PMM2_O15305_OID30125_v1_Cardiometabolic_II	16	8788823	8788823	8849331	1	ENSG00000140650	1	unique_match	UKBB_EUR
OID30126	DDA1	Q9BW61	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/DDA1_Q9BW61_OID30126_v1_Cardiometabolic_II	19	17309518	17309518	17323301	1	ENSG00000130311	1	unique_match	UKBB_EUR
OID30127	ELOB	Q15370	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ELOB_Q15370_OID30127_v1_Cardiometabolic_II							0	missing	UKBB_EUR
OID30128	TRPV3	Q8NET8	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TRPV3_Q8NET8_OID30128_v1_Cardiometabolic_II	17	3557995	3510502	3557995	-1	ENSG00000167723	1	unique_match	UKBB_EUR
OID30129	IFNW1	P05000	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/IFNW1_P05000_OID30129_v1_Cardiometabolic_II	9	21142145	21140214	21142145	-1	ENSG00000177047	1	unique_match	UKBB_EUR
OID30130	ABRAXAS2	Q15018	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ABRAXAS2_Q15018_OID30130_v1_Cardiometabolic_II							0	missing	UKBB_EUR
OID30131	MYOM2	P54296	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MYOM2_P54296_OID30131_v1_Cardiometabolic_II	8	2045040	2045040	2165552	1	ENSG00000036448	1	unique_match	UKBB_EUR
OID30132	HADH	Q16836	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/HADH_Q16836_OID30132_v1_Cardiometabolic_II	4	107989714	107989714	108035175	1	ENSG00000138796	1	unique_match	UKBB_EUR
OID30133	GAMT	Q14353	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GAMT_Q14353_OID30133_v1_Cardiometabolic_II	19	1401570	1397084	1401570	-1	ENSG00000130005	1	unique_match	UKBB_EUR
OID30134	NFYA	P23511	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/NFYA_P23511_OID30134_v1_Cardiometabolic_II	6	41072945	41072945	41099976	1	ENSG00000001167	1	unique_match	UKBB_EUR
OID30135	ENPEP	Q07075	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ENPEP_Q07075_OID30135_v1_Cardiometabolic_II	4	110365733	110365733	110565285	1	ENSG00000138792	1	unique_match	UKBB_EUR
OID30136	EDEM2	Q9BV94	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/EDEM2_Q9BV94_OID30136_v1_Cardiometabolic_II	20	35147364	35115357	35147364	-1	ENSG00000088298	1	unique_match	UKBB_EUR
OID30137	DHODH	Q02127	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/DHODH_Q02127_OID30137_v1_Cardiometabolic_II	16	72008588	72008588	72027664	1	ENSG00000102967	1	unique_match	UKBB_EUR
OID30138	RIPK4	P57078	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/RIPK4_P57078_OID30138_v1_Cardiometabolic_II	21	41767106	41739369	41767106	-1	ENSG00000183421	1	unique_match	UKBB_EUR
OID30139	GBP6	Q6ZN66	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GBP6_Q6ZN66_OID30139_v1_Cardiometabolic_II	1	89364058	89364058	89386461	1	ENSG00000183347	1	unique_match	UKBB_EUR
OID30140	PRKD2	Q9BZL6	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PRKD2_Q9BZL6_OID30140_v1_Cardiometabolic_II	19	46717127	46674275	46717127	-1	ENSG00000105287	1	unique_match	UKBB_EUR
OID30141	MANSC4	A6NHS7	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MANSC4_A6NHS7_OID30141_v1_Cardiometabolic_II	12	27771276	27762738	27771276	-1	ENSG00000205693	1	unique_match	UKBB_EUR
OID30142	ECI2	O75521	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ECI2_O75521_OID30142_v1_Cardiometabolic_II	6	4135597	4115689	4135597	-1	ENSG00000198721	1	unique_match	UKBB_EUR
OID30143	TPR	P12270	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TPR_P12270_OID30143_v1_Cardiometabolic_II	1	186375693	186311652	186375693	-1	ENSG00000047410	1	unique_match	UKBB_EUR
OID30144	CALY	Q9NYX4	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CALY_Q9NYX4_OID30144_v1_Cardiometabolic_II	10	133336935	133324072	133336935	-1	ENSG00000130643	1	unique_match	UKBB_EUR
OID30145	HSD17B3	P37058	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/HSD17B3_P37058_OID30145_v1_Cardiometabolic_II	9	96302152	96235306	96302152	-1	ENSG00000130948	1	unique_match	UKBB_EUR
OID30146	ABCA2	Q9BZC7	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ABCA2_Q9BZC7_OID30146_v1_Cardiometabolic_II	9	137028922	137007227	137028922	-1	ENSG00000107331	1	unique_match	UKBB_EUR
OID30147	FDX2	Q6P4F2	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/FDX2_Q6P4F2_OID30147_v1_Cardiometabolic_II	19	10316015	10310045	10316015	-1	ENSG00000267673	1	unique_match	UKBB_EUR
OID30148	GUK1	Q16774	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GUK1_Q16774_OID30148_v1_Cardiometabolic_II	1	228139962	228139962	228148984	1	ENSG00000143774	1	unique_match	UKBB_EUR
OID30149	PROCR	Q9UNN8	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PROCR_Q9UNN8_OID30149_v1_Cardiometabolic_II	20	35172073	35172073	35216240	1	ENSG00000101000	1	unique_match	UKBB_EUR
OID30150	PYY	P10082	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PYY_P10082_OID30150_v1_Cardiometabolic_II	17	44004469	43952738	44004469	-1	ENSG00000131096	1	unique_match	UKBB_EUR
OID30151	PDZD2	O15018	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PDZD2_O15018_OID30151_v1_Cardiometabolic_II	5	31639410	31639410	32110931	1	ENSG00000133401	1	unique_match	UKBB_EUR
OID30152	ENOX2	Q16206	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ENOX2_Q16206_OID30152_v1_Cardiometabolic_II	23	130903317	130623369	130903317	-1	ENSG00000165675	1	unique_match	UKBB_EUR
OID30153	SPINK8	P0C7L1	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SPINK8_P0C7L1_OID30153_v1_Cardiometabolic_II	3	48328341	48306842	48328341	-1	ENSG00000229453	1	unique_match	UKBB_EUR
OID30154	TMED4	Q7Z7H5	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TMED4_Q7Z7H5_OID30154_v1_Cardiometabolic_II	7	44582287	44577894	44582287	-1	ENSG00000158604	1	unique_match	UKBB_EUR
OID30155	FRMD4B	Q9Y2L6	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/FRMD4B_Q9Y2L6_OID30155_v1_Cardiometabolic_II	3	69542583	69169990	69542583	-1	ENSG00000114541	1	unique_match	UKBB_EUR
OID30156	EIF5	P55010	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/EIF5_P55010_OID30156_v1_Cardiometabolic_II	14	103333544	103333544	103345025	1	ENSG00000100664	1	unique_match	UKBB_EUR
OID30157	HMGCS1	Q01581	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/HMGCS1_Q01581_OID30157_v1_Cardiometabolic_II	5	43313512	43289395	43313512	-1	ENSG00000112972	1	unique_match	UKBB_EUR
OID30158	NFX1	Q12986	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/NFX1_Q12986_OID30158_v1_Cardiometabolic_II	9	33290511	33290511	33371157	1	ENSG00000086102	1	unique_match	UKBB_EUR
OID30159	MMUT	P22033	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MMUT_P22033_OID30159_v1_Cardiometabolic_II							0	missing	UKBB_EUR
OID30160	NFKB1	P19838	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/NFKB1_P19838_OID30160_v1_Cardiometabolic_II	4	102501329	102501329	102617302	1	ENSG00000109320	1	unique_match	UKBB_EUR
OID30161	ANK2	Q01484	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ANK2_Q01484_OID30161_v1_Cardiometabolic_II	4	112818083	112818083	113383740	1	LRG_327	2	multi_match_first	UKBB_EUR
OID30162	LILRA4	P59901	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/LILRA4_P59901_OID30162_v1_Cardiometabolic_II	19	54339150	54333185	54339150	-1	ENSG00000239961	1	unique_match	UKBB_EUR
OID30163	KIF1C	O43896	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/KIF1C_O43896_OID30163_v1_Cardiometabolic_II	17	4997948	4997948	5028401	1	ENSG00000129250	1	unique_match	UKBB_EUR
OID30164	GSTM4	Q03013	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GSTM4_Q03013_OID30164_v1_Cardiometabolic_II	1	109656081	109656081	109674836	1	ENSG00000168765	1	unique_match	UKBB_EUR
OID30165	B3GAT3	O94766	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/B3GAT3_O94766_OID30165_v1_Cardiometabolic_II	11	62622175	62615296	62622175	-1	ENSG00000149541	1	unique_match	UKBB_EUR
OID30166	ARL13B	Q3SXY8	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ARL13B_Q3SXY8_OID30166_v1_Cardiometabolic_II	3	93980139	93980139	94055668	1	ENSG00000169379	1	unique_match	UKBB_EUR
OID30167	ATP6V1G2	O95670	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ATP6V1G2_O95670_OID30167_v1_Cardiometabolic_II	6	31548427	31544462	31548427	-1	ENSG00000213760	1	unique_match	UKBB_EUR
OID30168	ARNTL	O00327	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ARNTL_O00327_OID30168_v1_Cardiometabolic_II	11	13276652	13276652	13387266	1	ENSG00000133794	1	unique_match	UKBB_EUR
OID30169	KRT6C	P48668	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/KRT6C_P48668_OID30169_v1_Cardiometabolic_II	12	52473785	52468516	52473785	-1	ENSG00000170465	1	unique_match	UKBB_EUR
OID30170	ASS1	P00966	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ASS1_P00966_OID30170_v1_Cardiometabolic_II	9	130444929	130444929	130501274	1	ENSG00000130707	1	unique_match	UKBB_EUR
OID30171	UHRF2	Q96PU4	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/UHRF2_Q96PU4_OID30171_v1_Cardiometabolic_II	9	6413151	6413151	6507054	1	ENSG00000147854	1	unique_match	UKBB_EUR
OID30172	PMCH	P20382	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PMCH_P20382_OID30172_v1_Cardiometabolic_II	12	102197845	102196459	102197845	-1	ENSG00000183395	1	unique_match	UKBB_EUR
OID30173	COPB2	P35606	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/COPB2_P35606_OID30173_v1_Cardiometabolic_II	3	139389732	139355600	139389732	-1	ENSG00000184432	1	unique_match	UKBB_EUR
OID30174	GP1BB	P13224	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GP1BB_P13224_OID30174_v1_Cardiometabolic_II	22	19722945	19722945	19724771	1	ENSG00000203618	2	multi_match_first	UKBB_EUR
OID30175	KIF22	Q14807	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/KIF22_Q14807_OID30175_v1_Cardiometabolic_II	16	29790719	29790719	29805385	1	ENSG00000079616	1	unique_match	UKBB_EUR
OID30176	CSRP3	P50461	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CSRP3_P50461_OID30176_v1_Cardiometabolic_II	11	19210573	19182030	19210573	-1	ENSG00000129170	2	multi_match_first	UKBB_EUR
OID30177	CBX2	Q14781	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CBX2_Q14781_OID30177_v1_Cardiometabolic_II	17	79778132	79778132	79787983	1	ENSG00000173894	1	unique_match	UKBB_EUR
OID30178	MRPL24	Q96A35	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MRPL24_Q96A35_OID30178_v1_Cardiometabolic_II	1	156741590	156737303	156741590	-1	ENSG00000143314	1	unique_match	UKBB_EUR
OID30179	BRDT	Q58F21	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/BRDT_Q58F21_OID30179_v1_Cardiometabolic_II	1	91949371	91949371	92014426	1	ENSG00000137948	1	unique_match	UKBB_EUR
OID30180	C1GALT1C1	Q96EU7	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/C1GALT1C1_Q96EU7_OID30180_v1_Cardiometabolic_II	23	120630150	120625793	120630150	-1	ENSG00000171155	1	unique_match	UKBB_EUR
OID30181	YOD1	Q5VVQ6	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/YOD1_Q5VVQ6_OID30181_v1_Cardiometabolic_II	1	207052980	207043849	207052980	-1	ENSG00000180667	1	unique_match	UKBB_EUR
OID30182	PALM3	A6NDB9	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PALM3_A6NDB9_OID30182_v1_Cardiometabolic_II	19	14059159	14053365	14059159	-1	ENSG00000187867	1	unique_match	UKBB_EUR
OID30183	CSDE1	O75534	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CSDE1_O75534_OID30183_v1_Cardiometabolic_II	1	114758676	114716913	114758676	-1	ENSG00000009307	1	unique_match	UKBB_EUR
OID30184	PKD2	Q13563	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PKD2_Q13563_OID30184_v1_Cardiometabolic_II	4	88007668	88007668	88077777	1	ENSG00000118762	1	unique_match	UKBB_EUR
OID30185	TSNAX	Q99598	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TSNAX_Q99598_OID30185_v1_Cardiometabolic_II	1	231528653	231528653	231566524	1	ENSG00000116918	1	unique_match	UKBB_EUR
OID30186	PACS2	Q86VP3	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PACS2_Q86VP3_OID30186_v1_Cardiometabolic_II	14	105300563	105300563	105398147	1	ENSG00000179364	1	unique_match	UKBB_EUR
OID30187	FHIP2A	Q5W0V3	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/FHIP2A_Q5W0V3_OID30187_v1_Cardiometabolic_II							0	missing	UKBB_EUR
OID30188	NAA10	P41227	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/NAA10_P41227_OID30188_v1_Cardiometabolic_II	23	153935223	153929242	153935223	-1	ENSG00000102030	1	unique_match	UKBB_EUR
OID30189	VSIG10L	Q86VR7	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/VSIG10L_Q86VR7_OID30189_v1_Cardiometabolic_II	19	51342124	51331536	51342124	-1	ENSG00000186806	1	unique_match	UKBB_EUR
OID30190	LPP	Q93052	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/LPP_Q93052_OID30190_v1_Cardiometabolic_II	3	188153284	188153284	188890671	1	ENSG00000145012	1	unique_match	UKBB_EUR
OID30191	LRCH4	O75427	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/LRCH4_O75427_OID30191_v1_Cardiometabolic_II	7	100586153	100574011	100586153	-1	ENSG00000077454	1	unique_match	UKBB_EUR
OID30192	ACTN2	P35609	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ACTN2_P35609_OID30192_v1_Cardiometabolic_II	1	236686454	236686454	236764631	1	ENSG00000077522	1	unique_match	UKBB_EUR
OID30193	VIPR1	P32241	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/VIPR1_P32241_OID30193_v1_Cardiometabolic_II	3	42489299	42489299	42537573	1	ENSG00000114812	1	unique_match	UKBB_EUR
OID30194	PNMA1	Q8ND90	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PNMA1_Q8ND90_OID30194_v1_Cardiometabolic_II	14	73714372	73711783	73714372	-1	ENSG00000176903	1	unique_match	UKBB_EUR
OID30195	TOR1AIP1	Q5JTV8	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TOR1AIP1_Q5JTV8_OID30195_v1_Cardiometabolic_II	1	179882042	179882042	179925000	1	ENSG00000143337	1	unique_match	UKBB_EUR
OID30196	SEL1L	Q9UBV2	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SEL1L_Q9UBV2_OID30196_v1_Cardiometabolic_II	14	81533861	81471549	81533861	-1	ENSG00000071537	1	unique_match	UKBB_EUR
OID30197	GNPDA1	P46926	v1	Cardiometabolic_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GNPDA1_P46926_OID30197_v1_Cardiometabolic_II	5	142013041	141991749	142013041	-1	ENSG00000113552	1	unique_match	UKBB_EUR
