PROTEIN	GENE	CHR	START	END
SeqId_4220_39	FER	5	108747841	108747841
SeqId_4230_1	EIF4G2	11	10799361	10799361
SeqId_4232_19	IGF1R	15	98648539	98648539
SeqId_4234_8	IL1RL1	2	102311502	102311502
SeqId_4240_31	PKM2	15	72202053	72202053
SeqId_4249_64	NME2	17	51165435	51165435
SeqId_4250_23	NSFL1C	20	1457090	1457090
SeqId_4254_6	NUDCD3	7	44392508	44392508
SeqId_4276_10	PEBP1	12	118136124	118136124
SeqId_4278_14	P4HB	17	81845456	81845456
SeqId_4292_5	NAPA	19	47491475	47491475
SeqId_4294_16	SPHK1	17	76376584	76376584
SeqId_4297_62	SPON1	11	13962723	13962723
SeqId_4309_59	TPI1	12	6867119	6867119
SeqId_4324_33	CST2	20	23826729	23826729
SeqId_4328_2	BOC	3	113211003	113211003
SeqId_4332_6	CLEC1B	12	9997163	9997163
SeqId_4337_49	CRP	1	159713767	159713767
SeqId_4342_10	ICAM1	19	10271093	10271093
SeqId_4355_13	DAPK2	15	63911943	63911943
SeqId_4374_45	GDF15	19	18374731	18374731
SeqId_4407_10	MST1	3	49685090	49685090
SeqId_4413_3	SLPI	20	45254564	45254564
SeqId_4430_44	COLEC11	2	3594832	3594832
SeqId_4435_66	ENPP7	17	79730943	79730943
SeqId_4437_56	ENTPD5	14	73972934	73972934
SeqId_4440_15	FCRL3	1	157676732	157676732
SeqId_4455_89	MFGE8	15	88901960	88901960
SeqId_4459_68	PCSK7	11	117208136	117208136
SeqId_4467_49	SPARCL1	4	87528619	87528619
SeqId_4469_78	CHST15	10	124038619	124038619
SeqId_4479_14	SERPING1	11	57597387	57597387
SeqId_4480_59	C3	19	6678330	6678330
SeqId_4487_1	FGF7	15	49423178	49423178
SeqId_4496_60	MMP12	11	102874982	102874982
SeqId_4498_62	NCAM1	11	112961247	112961247
SeqId_4499_21	PDGFA	7	513467	513467
SeqId_4500_50	CLEC11A	19	50723364	50723364
SeqId_4534_10	PRSS22	16	2855933	2855933
SeqId_4535_50	BST1	4	15703065	15703065
SeqId_4541_49	CDON	11	126004445	126004445
SeqId_4546_27	ADGRE2	19	14772374	14772374
SeqId_4548_4	FUT3	19	5847034	5847034
SeqId_4549_78	FUT5	19	5867741	5867741
SeqId_4559_64	KYNU	2	142877657	142877657
SeqId_4563_61	PLCG1	20	41136960	41136960
SeqId_4564_2	PLXNC1	12	94148577	94148577
SeqId_4568_17	SLITRK5	13	87672615	87672615
SeqId_4706_17	EPB41	1	28887091	28887091
SeqId_4707_50	YWHAH	22	31944522	31944522
SeqId_4719_58	PDIA3	15	43746410	43746410
SeqId_4763_31	AFM	4	73481745	73481745
SeqId_4771_10	SMPDL3A	6	122789049	122789049
SeqId_4775_34	GSN	9	121207794	121207794
SeqId_4801_13	LPO	17	58218548	58218548
SeqId_4811_33	ITIH4	3	52814212	52814212
SeqId_4831_4	SELL	1	169703329	169703329
SeqId_4834_61	EPHA2	1	16133562	16133562
SeqId_4840_73	CSF3	17	40015361	40015361
SeqId_4866_59	NTRK2	9	84668551	84668551
SeqId_4867_15	VEGFA	6	43770184	43770184
SeqId_4874_3	ANG	14	20684177	20684177
SeqId_4878_3	F10	13	113122799	113122799
SeqId_4886_3	CCL7	17	34270221	34270221
SeqId_4906_35	F5	1	169515745	169515745
SeqId_4908_6	ENG	9	127824405	127824405
SeqId_4911_49	GSTP1	11	67583742	67583742
SeqId_4913_78	CCL16	17	35978263	35978263
SeqId_4922_13	CCL19	9	34690238	34690238
SeqId_4924_32	MMP1	11	102798160	102798160
SeqId_4925_54	MMP13	11	102955705	102955705
SeqId_4929_55	SHBG	17	7613946	7613946
SeqId_4930_21	STC1	8	23854311	23854311
SeqId_4960_72	ANXA1	9	73151865	73151865
SeqId_4961_17	ANXA2	15	60351553	60351553
SeqId_4962_52	CDNF	10	14828205	14828205
SeqId_4964_67	ERAP1	5	96781181	96781181
SeqId_4968_50	CAPG	2	85398352	85398352
SeqId_4969_2	CA1	8	85337212	85337212
SeqId_4971_1	CTSZ	20	59006426	59006426
SeqId_4976_57	CRK	17	1456149	1456149
SeqId_4979_34	DPT	1	168729206	168729206
SeqId_4981_6	DSC3	18	31006918	31006918
SeqId_4982_54	PI3	20	45174902	45174902
SeqId_4984_83	ESD	13	46784350	46784350
SeqId_4989_7	FGG	4	154609843	154609843
SeqId_4990_87	GP1BA	17	4932277	4932277
SeqId_4991_12	GPC5	13	91398621	91398621
SeqId_4992_49	GRN	17	44345246	44345246
SeqId_4996_66	HRG	3	186660216	186660216
SeqId_5000_52	LGALS3BP	17	78974796	78974796
SeqId_5005_4	MAPK12	22	50256153	50256153
SeqId_5006_71	MAPK13	6	36127809	36127809
SeqId_5007_1	MAPK14	6	36027677	36027677
SeqId_5012_67	AK1	9	127872713	127872713
SeqId_5013_2	CLIC1	6	31736545	31736545
SeqId_5015_15	PLA2G7	6	46735375	46735375
SeqId_5018_68	PRDX6	1	173477330	173477330
SeqId_5021_13	PPA1	10	70210250	70210250
SeqId_5023_23	ADSL	22	40346500	40346500
SeqId_5029_3	FAP	2	162173781	162173781
SeqId_5034_79	PRSS2	7	142760398	142760398
SeqId_5036_50	TNFAIP6	2	151357592	151357592
SeqId_5060_62	CD274	9	5450503	5450503
SeqId_5061_27	ICOSLG	21	44230089	44230089
SeqId_5063_12	CD244	1	160839165	160839165
SeqId_5066_134	CD300C	17	74546115	74546115
SeqId_5069_9	CD55	1	207321376	207321376
SeqId_5070_76	TNFRSF6B	20	63696652	63696652
SeqId_5076_53	EPHA10	1	37715020	37715020
SeqId_5078_82	EPHB6	7	142855061	142855061
SeqId_5085_18	IL20RA	6	137044248	137044248
SeqId_5087_5	IL22RA2	6	137173644	137173644
SeqId_5088_175	IL23R	1	67138907	67138907
SeqId_5089_11	IL7R	5	35852695	35852695
SeqId_5090_49	LILRB1	19	54617158	54617158
SeqId_5091_28	LILRB2	19	54278544	54278544
SeqId_5092_51	JAG1	20	10641276	10641276
SeqId_5095_21	KIR2DL4	19	54803535	54803535
SeqId_5102_55	MICB	6	31494881	31494881
SeqId_5103_30	CD200R1	3	112974912	112974912
SeqId_5105_2	RTN4R	22	20243684	20243684
SeqId_5107_7	NOTCH1	9	136504845	136504845
SeqId_5108_72	NOTCH3	19	15165967	15165967
SeqId_5109_24	NRCAM	7	108156637	108156637
SeqId_5112_73	CD200	3	112332347	112332347
SeqId_5121_3	SEMA6B	19	4546469	4546469
SeqId_5124_69	ICAM5	19	10289952	10289952
SeqId_5128_53	SLAMF6	1	160523242	160523242
SeqId_5129_12	SCARF1	17	1640557	1640557
SeqId_5131_15	TNFRSF19	13	23570370	23570370
SeqId_5132_71	IL27RA	19	14031762	14031762
SeqId_5134_52	HAVCR2	5	157107283	157107283
SeqId_5139_32	UNC5C	4	95335632	95335632
SeqId_5202_4	PPID	4	158710821	158710821
SeqId_5223_59	GCKR	2	27496839	27496839
SeqId_5229_90	IMPDH1	7	128395171	128395171
SeqId_5231_79	PCSK9	1	55039447	55039447
SeqId_5238_26	PPIE	1	39692182	39692182
SeqId_5248_68	PPIF	10	79347469	79347469
SeqId_5256_86	PDE5A	4	119505935	119505935
SeqId_5272_55	SHC1	1	154965762	154965762
SeqId_5275_28	VAV1	19	6772708	6772708
SeqId_5301_7	CCL11	17	34285742	34285742
SeqId_5312_49	APOE	19	44905791	44905791
SeqId_5316_54	F2	11	46719196	46719196
SeqId_5339_49	S100A9	1	153357854	153357854
SeqId_5346_24	CPNE1	20	35626853	35626853
SeqId_5349_69	DLL1	6	170291078	170291078
SeqId_5350_14	GPC6	13	93226807	93226807
SeqId_5353_89	IL1RN	2	113107214	113107214
SeqId_5355_69	TNFSF14	19	6670117	6670117
SeqId_5358_3	OMD	9	92424461	92424461
SeqId_5363_51	SEMA3E	7	83462160	83462160
SeqId_5392_73	FAS	10	88990531	88990531
SeqId_5400_52	LEPR	1	65420652	65420652
SeqId_5404_53	TNFRSF21	6	47309905	47309905
SeqId_5430_66	SIRPA	20	1894167	1894167
SeqId_5451_1	ALCAM	3	105366909	105366909
SeqId_5452_71	ASGR1	17	7177046	7177046
SeqId_5456_59	CNDP1	18	74534500	74534500
SeqId_5457_5	COLEC12	18	317366	317366
SeqId_5459_33	CST1	20	23750937	23750937
SeqId_5460_60	DDX19B	16	70289663	70289663
SeqId_5462_62	FCN3	1	27373678	27373678
SeqId_5463_22	GAS1	9	86947506	86947506
SeqId_5464_52	GRB2	17	75321753	75321753
SeqId_5465_32	HS6ST1	2	128290196	128290196
SeqId_5475_10	PRKCB	16	23835983	23835983
SeqId_5478_50	FOLH1	11	49156753	49156753
SeqId_5480_49	CCL5	17	35880360	35880360
SeqId_5483_1	RGMA	15	93058841	93058841
SeqId_5487_7	SLAMF7	1	160739057	160739057
SeqId_5491_12	SPOCK2	10	72068865	72068865
SeqId_5509_7	EGF	4	109912883	109912883
SeqId_5532_53	FGFR1	8	38401683	38401683
SeqId_5542_22	NRP1	10	33185655	33185655
SeqId_5581_28	FGL1	8	17874665	17874665
SeqId_5584_21	TCN2	22	30607003	30607003
SeqId_5586_66	MINPP1	10	87504875	87504875
SeqId_5593_11	PDIA5	3	123067025	123067025
SeqId_5598_3	GREM2	1	240612155	240612155
SeqId_5601_2	PGLYRP2	19	15479501	15479501
SeqId_5605_77	MFNG	22	37472724	37472724
SeqId_5609_92	FAM19A5	22	48489460	48489460
SeqId_5618_50	FAM3B	21	41304212	41304212
SeqId_5620_13	PAM	5	102753981	102753981
SeqId_5621_64	THSD1	13	52406172	52406172
SeqId_5628_21	SEMA3G	3	52444969	52444969
SeqId_5630_48	CD300A	17	74466399	74466399
SeqId_5631_83	MLN	6	33803980	33803980
SeqId_5632_6	CRTAC1	10	97884242	97884242
SeqId_5634_39	POFUT1	20	32207880	32207880
SeqId_5636_10	MFAP4	17	19384229	19384229
SeqId_5637_81	NTNG1	1	107140007	107140007
SeqId_5638_23	COLGALT1	19	17555649	17555649
SeqId_5644_60	RNASE4	14	20684560	20684560
SeqId_5646_20	RNASE6	14	20781268	20781268
SeqId_5648_28	CTRB2	16	75205795	75205795
SeqId_5649_83	PSG4	19	43194886	43194886
SeqId_5651_50	PSG7	19	42927577	42927577
SeqId_5656_53	ENDOU	12	47717879	47717879
SeqId_5657_28	ST3GAL1	8	133475934	133475934
SeqId_5658_64	F13B	1	197050845	197050845
SeqId_5660_51	SOD3	4	24789912	24789912
SeqId_5663_18	PF4V1	4	73853296	73853296
SeqId_5671_1	CTRB1	16	75218988	75218988
SeqId_5676_54	ASIP	20	34194569	34194569
SeqId_5680_54	OBP2B	9	133209227	133209227
SeqId_5682_13	VASN	16	4371848	4371848
SeqId_5687_5	PRKCSH	19	11435288	11435288
SeqId_5688_65	CBLN4	20	56005519	56005519
SeqId_5691_2	CRISPLD2	16	84819985	84819985
SeqId_5698_60	TNXB	6	32043452	32043452
SeqId_5701_81	CLEC3B	3	45001548	45001548
SeqId_5703_26	OLFM1	9	135075422	135075422
SeqId_5704_74	GZMM	19	544034	544034
SeqId_5708_1	LEAP2	5	132873444	132873444
SeqId_5713_9	IFNL3	19	39245006	39245006
SeqId_5722_78	PRCP	11	82831438	82831438
SeqId_5727_35	B3GALTL	13	31199975	31199975
SeqId_5728_60	FCRL1	1	157797820	157797820
SeqId_5731_1	SPINK6	5	148202794	148202794
SeqId_5736_1	TREML2	6	41201149	41201149
SeqId_5737_61	SEMA4D	9	89364651	89364651
SeqId_5740_17	ROBO1	3	78607289	78607289
SeqId_5742_14	ACP6	1	147650682	147650682
SeqId_5749_53	CLPS	6	35796850	35796850
SeqId_5792_8	AFP	4	73431138	73431138
SeqId_5803_24	C3	19	6678330	6678330
SeqId_5810_25	TDGF1	3	46574534	46574534
SeqId_5813_58	EPO	7	100720468	100720468
SeqId_5825_49	IFNGR1	6	137219028	137219028
SeqId_5834_18	IL9	5	135895841	135895841
SeqId_5837_49	LIFR	5	38489245	38489245
SeqId_5852_6	S100A12	1	153375621	153375621
SeqId_5858_6	YWHAZ	8	100924988	100924988
SeqId_5888_29	EIF5A	17	7306999	7306999
SeqId_5900_11	HINT1	5	131162627	131162627
SeqId_5918_5	PSME1	14	24136163	24136163
SeqId_5939_42	TNFSF12	17	7549058	7549058
SeqId_5963_9	DMKN	19	35497933	35497933
SeqId_5980_55	BOLA3	2	74145508	74145508
SeqId_6039_24	CRHBP	5	76953045	76953045
SeqId_6049_64	PTPRS	19	5220016	5220016
SeqId_6060_2	PIP	7	143132077	143132077
SeqId_6077_63	CECR1	22	17188727	17188727
SeqId_6081_52	PCOLCE2	3	142829731	142829731
SeqId_6086_15	CHRDL2	11	74697694	74697694
SeqId_6207_10	PSAP	10	71819271	71819271
SeqId_6223_5	GUCA2B	1	42153410	42153410
SeqId_6227_1	KLK10	19	51017322	51017322
SeqId_6234_74	VIT	2	36696690	36696690
SeqId_6245_4	PVRL2	19	44846175	44846175
SeqId_6247_9	SIRPB1	20	1571912	1571912
SeqId_6252_62	SCGB3A1	5	180591163	180591163
SeqId_6255_74	CPXM1	20	2800627	2800627
SeqId_6342_10	NPNT	4	105894775	105894775
SeqId_6359_50	POMGNT2	3	43105939	43105939
SeqId_6364_7	TAPBPL	12	6451690	6451690
SeqId_6366_38	TXNDC15	5	134873803	134873803
SeqId_6367_66	FMOD	1	203351086	203351086
SeqId_6373_54	DLK1	14	100725705	100725705
SeqId_6375_75	XXYLT1	3	195087372	195087372
SeqId_6379_62	ADAMTSL2	9	133532164	133532164
SeqId_6382_17	MANBA	4	102650838	102650838
SeqId_6383_90	TLL1	4	165873237	165873237
SeqId_6385_63	VWA1	1	1434861	1434861
SeqId_6388_21	CCDC126	7	23597382	23597382
SeqId_6392_7	WISP2	20	44714844	44714844
SeqId_6393_63	HSP90B1	12	103930107	103930107
SeqId_6402_8	PILRA	7	100367530	100367530
SeqId_6404_20	C1QL1	17	44968303	44968303
SeqId_6408_2	INHBC	12	57434784	57434784
SeqId_6409_57	ADGRF5	6	46863304	46863304
SeqId_6414_8	OAF	11	120211032	120211032
SeqId_6415_90	CPN2	3	194351318	194351318
SeqId_6416_8	GKN2	2	68952880	68952880
SeqId_6425_87	MMP19	12	55840034	55840034
SeqId_6431_68	PCYOX1	2	70257386	70257386
SeqId_6433_57	FAM20A	17	68540577	68540577
SeqId_6444_15	PSG3	19	42739372	42739372
SeqId_6448_36	SEMA3C	7	80798238	80798238
SeqId_6451_64	ASPN	9	92482353	92482353
SeqId_6455_52	HAPLN4	19	19261683	19261683
SeqId_6461_54	APOC3	11	116829706	116829706
SeqId_6462_12	TIMP4	3	12158912	12158912
SeqId_6467_65	POGLUT1	3	119468963	119468963
SeqId_6470_19	FBLN1	22	45502238	45502238
SeqId_6471_53	CFHR4	1	196888014	196888014
SeqId_6472_40	PMEL	12	55956539	55956539
SeqId_6478_2	IGLON5	19	51311848	51311848
SeqId_6485_59	IGLL1	22	23580239	23580239
SeqId_6491_59	KLK15	19	50827151	50827151
SeqId_6493_9	CPZ	4	8592660	8592660
SeqId_6496_60	DLK1	14	100725705	100725705
SeqId_6504_65	LOXL2	8	23320005	23320005
SeqId_6507_16	NCAM2	21	20998409	20998409
SeqId_6520_87	MGP	12	14884245	14884245
SeqId_6521_35	NPTX2	7	98617285	98617285
SeqId_6525_17	DUSP13	10	75097884	75097884
SeqId_6527_1	TRIL	7	28958330	28958330
SeqId_6530_63	PROL1	4	70397931	70397931
SeqId_6544_33	NELL1	11	20669551	20669551
SeqId_6551_94	SERPINA12	14	94504222	94504222
SeqId_6556_5	ENPP5	6	46167551	46167551
SeqId_6557_50	LRRC15	3	194369731	194369731
SeqId_6558_5	COLEC10	8	118995452	118995452
SeqId_6574_11	FAIM3	1	206909945	206909945
SeqId_6576_1	ART4	12	14843062	14843062
SeqId_6593_5	GALNT3	2	165761907	165761907
SeqId_6604_59	NDNF	4	121038984	121038984
SeqId_6605_17	IGFALS	16	1793732	1793732
SeqId_6609_22	CNP	17	41966763	41966763
SeqId_6617_12	FCRL6	1	159800511	159800511
SeqId_6620_82	LINGO1	15	77632490	77632490
SeqId_6626_81	CHST12	7	2403588	2403588
SeqId_6627_25	PNLIPRP1	10	116590385	116590385
SeqId_6629_3	DEFB1	8	6877936	6877936
SeqId_6649_51	NTN1	17	9021510	9021510
SeqId_6706_18	ALPPL2	2	232406844	232406844
SeqId_6713_4	LRP11	6	149836199	149836199
SeqId_6715_63	ALPPL2	2	232406844	232406844
SeqId_6897_38	B3GAT3	11	62617454	62617454
SeqId_6904_14	LRRTM2	5	138875304	138875304
SeqId_6909_40	MGAT2	14	49620799	49620799
SeqId_6919_3	HBZ	16	142728	142728
SeqId_6920_1	GFRAL	6	55327469	55327469
SeqId_6923_1	PLOD2	3	146071170	146071170
SeqId_6925_26	SNX8	7	2257618	2257618
SeqId_6927_7	NDST1	5	150485818	150485818
SeqId_6930_95	ST8SIA6	10	17327109	17327109
SeqId_6947_4	ST3GAL6	3	98732236	98732236
SeqId_6955_68	SNX1	15	64094123	64094123
SeqId_6965_19	CNTNAP2	7	146116002	146116002
SeqId_6969_14	WFDC5	20	45115162	45115162
SeqId_6984_6	IGSF8	1	160095332	160095332
SeqId_6986_17	HS3ST3B1	17	14301081	14301081
SeqId_6998_106	ASPH	8	61526086	61526086
SeqId_7009_8	CD72	9	35618353	35618353
SeqId_7015_8	LILRB5	19	54257245	54257245
SeqId_7019_13	SEMA7A	15	74411639	74411639
SeqId_7049_2	ADAM23	2	206443532	206443532
SeqId_7050_5	NEGR1	1	71439838	71439838
SeqId_7059_14	LILRA6	19	54242751	54242751
SeqId_7060_2	ERO1L	14	52646410	52646410
SeqId_7073_69	C22orf15	22	23763021	23763021
SeqId_7081_2	BTN3A1	6	26402237	26402237
SeqId_7083_74	MATN4	20	45305591	45305591
SeqId_7090_17	GALNT1	18	35581117	35581117
SeqId_7096_30	RMDN1	8	86474914	86474914
SeqId_7110_2	DNAJB11	3	186567403	186567403
SeqId_7128_9	VWA2	10	114239254	114239254
SeqId_7140_1	CELA2A	1	15456728	15456728
SeqId_7141_21	MGAT4B	5	179798835	179798835
SeqId_7145_1	ITIH3	3	52794768	52794768
SeqId_7156_2	FUT10	8	33377556	33377556
SeqId_7161_25	H6PD	1	9234775	9234775
SeqId_7173_141	TMEM132C	12	128267403	128267403
SeqId_7179_69	NFASC	1	204828651	204828651
SeqId_7185_29	GP5	3	194398354	194398354
SeqId_7192_37	IFNLR1	1	24187248	24187248
SeqId_7198_197	FAM20B	1	179025804	179025804
SeqId_7206_20	FBP1	9	94638413	94638413
SeqId_7208_60	MGAT4C	12	86049723	86049723
SeqId_7210_25	APLP1	19	35867899	35867899
SeqId_7211_2	RNASE1	14	20802406	20802406
SeqId_7218_87	ATP1B2	17	7646627	7646627
SeqId_7227_75	COCH	14	30874514	30874514
SeqId_7228_2	ST6GALNAC6	9	127897408	127897408
SeqId_7244_16	IGFLR1	19	35740549	35740549
SeqId_7246_4	FREM2	13	38687077	38687077
SeqId_7251_64	C1QTNF3	5	34024418	34024418
SeqId_7258_5	PRG2	11	57390629	57390629
SeqId_7266_4	SERPINA9	14	94475985	94475985
SeqId_7551_33	LRRC32	11	76665971	76665971
SeqId_7628_40	CRELD1	3	9933816	9933816
SeqId_7648_9	MYBPC1	12	101568353	101568353
SeqId_7655_11	NPPB	1	11858945	11858945
SeqId_7738_299	STX2	12	130801460	130801460
SeqId_7753_21	HTATIP2	11	20363685	20363685
SeqId_7757_5	HLA-DQA2	6	32741391	32741391
SeqId_7761_125	CHKB	22	50580253	50580253
SeqId_7769_29	SH3BP2	4	2793071	2793071
SeqId_7770_25	NFU1	2	69415299	69415299
SeqId_7779_86	CHST11	12	104455295	104455295
SeqId_7784_1	KNG1	3	186717348	186717348
SeqId_7787_25	LILRA5	19	54311663	54311663
SeqId_7803_4	CHST1	11	45649634	45649634
SeqId_7806_33	B4GALT7	5	177600132	177600132
SeqId_7808_5	GLCE	15	69160584	69160584
SeqId_7810_20	C1QTNF5	11	119340567	119340567
SeqId_7813_6	ALPP	2	232378724	232378724
SeqId_7815_49	IGFBPL1	9	38424454	38424454
SeqId_7822_11	HRASLS2	11	63563379	63563379
SeqId_7841_84	ESAM	11	124757529	124757529
SeqId_7849_3	QPCT	2	37342827	37342827
SeqId_7852_9	MTIF3	13	27440475	27440475
SeqId_7856_51	FAM151A	1	54623525	54623525
SeqId_7861_9	ROR2	9	91775781	91775781
SeqId_7866_11	DNAJC30	7	73683453	73683453
SeqId_7871_16	TMEM132A	11	60924463	60924463
SeqId_7875_86	PLEK	2	68365282	68365282
SeqId_7891_45	UGT1A6	2	233691607	233691607
SeqId_7905_30	HP	16	72054505	72054505
SeqId_7916_10	S100A7	1	153459874	153459874
SeqId_7918_114	AMY1A	1	103655290	103655290
SeqId_7921_65	FJX1	11	35618460	35618460
SeqId_7922_5	ADM	11	10305073	10305073
SeqId_7926_13	SPINT3	20	45515622	45515622
SeqId_7928_183	TPST1	7	66205317	66205317
SeqId_7933_75	ADAM22	7	87934143	87934143
SeqId_7945_10	SEMA6A	5	116449646	116449646
SeqId_7948_129	GLTPD2	17	4788964	4788964
SeqId_7950_142	BTNL9	5	181040225	181040225
SeqId_7953_20	SLAMF1	1	160646958	160646958
SeqId_7955_195	ITIH1	3	52777595	52777595
SeqId_7957_2	SCG3	15	51681492	51681492
SeqId_7968_15	CRTAM	11	122838500	122838500
SeqId_7970_315	ART3	4	76011184	76011184
SeqId_7980_72	B3GNT2	2	62196115	62196115
SeqId_7994_41	ERO1LB	1	236226495	236226495
SeqId_7999_23	ENTPD1	10	95711779	95711779
SeqId_8005_1	MXRA7	17	76688705	76688705
SeqId_8006_12	DNAJB12	10	72336865	72336865
SeqId_8007_19	CTSB	8	11845793	11845793
SeqId_8013_9	LMAN2L	2	96711914	96711914
SeqId_8014_359	MANEA	6	95577535	95577535
SeqId_8024_64	TPST2	22	26540871	26540871
SeqId_8028_22	SPINK5	5	148025683	148025683
SeqId_8039_41	FAM177A1	14	35044907	35044907
SeqId_8043_153	COMP	19	18787035	18787035
SeqId_8065_245	PATE4	11	125833316	125833316
SeqId_8068_43	KIAA1161	9	34372832	34372832
SeqId_8080_24	MSMP	9	35754276	35754276
SeqId_8097_77	LIPN	10	88761406	88761406
SeqId_8099_42	SPON2	4	1171070	1171070
SeqId_8221_19	MIF	22	23894383	23894383
SeqId_8225_86	EPHB2	1	22710839	22710839
SeqId_8229_1	GXYLT1	12	42144712	42144712
SeqId_8233_2	ITIH5	10	7570400	7570400
SeqId_8235_48	CHGB	20	5911510	5911510
SeqId_8237_56	SOSTDC1	7	16465738	16465738
SeqId_8243_55	SPINK1	5	147828130	147828130
SeqId_8244_16	FUT8	14	65410592	65410592
SeqId_8245_27	ICAM5	19	10289952	10289952
SeqId_8248_222	SIGLEC14	19	51645577	51645577
SeqId_8250_2	PTPRJ	11	47980558	47980558
SeqId_8252_2	NOTUM	17	81959810	81959810
SeqId_8255_34	MRVI1	11	10594023	10594023
SeqId_8258_22	UXS1	2	106097710	106097710
SeqId_8265_225	TMPO	12	98515512	98515512
SeqId_8268_98	HS3ST3A1	17	13556043	13556043
SeqId_8269_327	ARSK	5	95555101	95555101
SeqId_8274_64	STX7	6	132513065	132513065
SeqId_8275_31	PEAR1	1	156893698	156893698
SeqId_8288_27	APOH	17	66220630	66220630
SeqId_8289_8	GPNMB	7	23235967	23235967
SeqId_8296_117	KDELC2	11	108482058	108482058
SeqId_8297_8	DNAJC10	2	182716041	182716041
SeqId_8299_66	LILRA4	19	54337448	54337448
SeqId_8300_82	PEX14	1	10472288	10472288
SeqId_8304_50	TNFRSF11B	8	118929073	118929073
SeqId_8307_47	C11orf68	11	65918360	65918360
SeqId_8309_12	HYAL1	3	50303572	50303572
SeqId_8325_37	ADH4	4	99136537	99136537
SeqId_8327_26	DPEP2	16	67993863	67993863
SeqId_8336_267	GRAMD1C	3	113828182	113828182
SeqId_8337_65	PTPRU	1	29236516	29236516
SeqId_8345_27	GPX7	1	52602371	52602371
SeqId_8346_9	DPP7	9	137112215	137112215
SeqId_8351_17	PRSS57	19	695461	695461
SeqId_8356_88	OXT	20	3071620	3071620
SeqId_8358_30	PRDX3	10	119170988	119170988
SeqId_8360_169	NCR1	19	54906148	54906148
SeqId_8364_74	UST	6	148747030	148747030
SeqId_8368_102	TNFRSF1B	1	12166991	12166991
SeqId_8376_25	LHB	19	49016820	49016820
SeqId_8394_56	RNASE2	14	20955487	20955487
SeqId_8397_147	QSOX2	9	136224877	136224877
SeqId_8398_277	RARRES1	3	158705708	158705708
SeqId_8403_18	FASN	17	82079378	82079378
SeqId_8427_118	RSPO3	6	127118671	127118671
SeqId_8428_102	NTM	11	131370478	131370478
SeqId_8458_111	SNCA	4	89771957	89771957
SeqId_8464_31	RSPO4	20	1002264	1002264
SeqId_8465_52	CTSH	15	78926904	78926904
SeqId_8468_19	KLK3	19	50854915	50854915
SeqId_8469_41	IGFBP2	2	216632828	216632828
SeqId_8476_11	CHGA	14	92923150	92923150
SeqId_8479_4	MMP10	11	102780628	102780628
SeqId_8480_29	EFEMP1	2	55917780	55917780
SeqId_8606_39	GPNMB	7	23235967	23235967
SeqId_8660_5	OLFML3	1	113979391	113979391
SeqId_8664_36	PKDCC	2	42048021	42048021
SeqId_8687_26	TMEM106B	7	12211270	12211270
SeqId_8696_15	GAL3ST1	22	30557586	30557586
SeqId_8697_38	GPC1	2	240435663	240435663
SeqId_8759_29	A4GALT	22	42694986	42694986
SeqId_8766_29	LILRA5	19	54311663	54311663
SeqId_8773_172	EMILIN3	20	41366818	41366818
SeqId_8778_3	NOG	17	56593699	56593699
SeqId_8786_6	FAM171B	2	186694060	186694060
SeqId_8794_13	DPEP1	16	89613308	89613308
SeqId_8795_48	TFRC	3	196055214	196055214
SeqId_8814_33	PSAPL1	4	7434930	7434930
SeqId_8840_61	C1S	12	6988259	6988259
SeqId_8841_65	CILP2	19	19538248	19538248
SeqId_8842_16	GRAMD1C	3	113828182	113828182
SeqId_8859_51	CA11	19	48638385	48638385
SeqId_8866_53	QPCTL	19	45692666	45692666
SeqId_8869_5	BTN2A1	6	26457904	26457904
SeqId_8874_53	CLN5	13	76990660	76990660
SeqId_8885_6	CACNA2D3	3	54122547	54122547
SeqId_8890_9	TMEM132B	12	125186836	125186836
SeqId_8892_14	PEAR1	1	156893698	156893698
SeqId_8894_80	HNRNPAB	5	178204533	178204533
SeqId_8900_28	NEO1	15	73051710	73051710
SeqId_8916_32	STIM1	11	3854527	3854527
SeqId_8923_94	GALNT16	14	69259277	69259277
SeqId_8925_25	RRM2B	8	102214229	102214229
SeqId_8932_1	ENTPD6	20	25195693	25195693
SeqId_8953_47	HDGF	1	156744276	156744276
SeqId_8956_96	SCARF2	22	20429926	20429926
SeqId_8957_72	ERLEC1	2	53787044	53787044
SeqId_8958_51	CHL1	3	196763	196763
SeqId_8960_3	ERAP2	5	96875986	96875986
SeqId_8963_8	VTI1B	14	67659791	67659791
SeqId_8969_49	CD14	5	140633175	140633175
SeqId_8970_9	RIPK2	8	89757806	89757806
SeqId_8973_23	FCRL4	1	157580537	157580537
SeqId_8974_172	COL15A1	9	98943179	98943179
SeqId_8982_65	THBS3	1	155196442	155196442
SeqId_8983_7	GOLM1	9	86036813	86036813
SeqId_8989_40	SCUBE1	22	43262799	43262799
SeqId_8992_1	TMEM2	9	71687428	71687428
SeqId_9002_36	SERPINA11	14	94452800	94452800
SeqId_9005_16	PLXNA1	3	126988594	126988594
SeqId_9015_1	PRG3	11	57381150	57381150
SeqId_9017_58	LCT	2	135812959	135812959
SeqId_9018_38	PCDH10	4	133149294	133149294
SeqId_9021_1	HAVCR1	5	157049149	157049149
SeqId_9026_40	BTNL8	5	180899077	180899077
