protein	gene	uniprot	sumstat_file	chr	tss	resource_source
SeqId_3489_9	CNTF	P26441	/data/Dutta_lab/aric/EA/SeqId_3489_9.PHENO1.glm.linear	11	58622665	ARIC
SeqId_3494_71	FGF17	O60258	/data/Dutta_lab/aric/EA/SeqId_3494_71.PHENO1.glm.linear	8	22042398	ARIC
SeqId_3495_15	CXCL6	P80162	/data/Dutta_lab/aric/EA/SeqId_3495_15.PHENO1.glm.linear	4	73836640	ARIC
SeqId_3497_13	IFNA2	P01563	/data/Dutta_lab/aric/EA/SeqId_3497_13.PHENO1.glm.linear	9	21385398	ARIC
SeqId_3499_77	IL17B	Q9UHF5	/data/Dutta_lab/aric/EA/SeqId_3499_77.PHENO1.glm.linear	5	149374342	ARIC
SeqId_3504_58	HAMP	P81172	/data/Dutta_lab/aric/EA/SeqId_3504_58.PHENO1.glm.linear	19	35280716	ARIC
SeqId_3508_78	CCL22	O00626	/data/Dutta_lab/aric/EA/SeqId_3508_78.PHENO1.glm.linear	16	57358783	ARIC
SeqId_3516_60	CXCL12	P48061	/data/Dutta_lab/aric/EA/SeqId_3516_60.PHENO1.glm.linear	10	44385043	ARIC
SeqId_3518_54	CPB2	Q96IY4	/data/Dutta_lab/aric/EA/SeqId_3518_54.PHENO1.glm.linear	13	46105028	ARIC
SeqId_3519_3	CCL17	Q92583	/data/Dutta_lab/aric/EA/SeqId_3519_3.PHENO1.glm.linear	16	57404767	ARIC
SeqId_3520_58	TGFB3	P10600	/data/Dutta_lab/aric/EA/SeqId_3520_58.PHENO1.glm.linear	14	75960957	ARIC
SeqId_3522_57	VIP	P01282	/data/Dutta_lab/aric/EA/SeqId_3522_57.PHENO1.glm.linear	6	152750797	ARIC
SeqId_3535_84	DKK1	O94907	/data/Dutta_lab/aric/EA/SeqId_3535_84.PHENO1.glm.linear	10	52314281	ARIC
SeqId_3538_26	DDC	P20711	/data/Dutta_lab/aric/EA/SeqId_3538_26.PHENO1.glm.linear	7	50459684	ARIC
SeqId_3554_24	ADIPOQ	Q15848	/data/Dutta_lab/aric/EA/SeqId_3554_24.PHENO1.glm.linear	3	186842704	ARIC
SeqId_3580_25	SERPINA1	P01009	/data/Dutta_lab/aric/EA/SeqId_3580_25.PHENO1.glm.linear	14	94383246	ARIC
SeqId_3581_53	AHSG	P02765	/data/Dutta_lab/aric/EA/SeqId_3581_53.PHENO1.glm.linear	3	186613060	ARIC
SeqId_3585_54	BSG	P35613	/data/Dutta_lab/aric/EA/SeqId_3585_54.PHENO1.glm.linear	19	571277	ARIC
SeqId_3587_53	BMP10	O95393	/data/Dutta_lab/aric/EA/SeqId_3587_53.PHENO1.glm.linear	2	68871397	ARIC
SeqId_3592_4	CAMK1	Q14012	/data/Dutta_lab/aric/EA/SeqId_3592_4.PHENO1.glm.linear	3	9758047	ARIC
SeqId_3593_72	CASP3	P42574	/data/Dutta_lab/aric/EA/SeqId_3593_72.PHENO1.glm.linear	4	184648592	ARIC
SeqId_3600_2	CHIT1	Q13231	/data/Dutta_lab/aric/EA/SeqId_3600_2.PHENO1.glm.linear	1	203218021	ARIC
SeqId_3603_60	CLEC7A	Q9BXN2	/data/Dutta_lab/aric/EA/SeqId_3603_60.PHENO1.glm.linear	12	10130082	ARIC
SeqId_3605_77	MASP1	P48740	/data/Dutta_lab/aric/EA/SeqId_3605_77.PHENO1.glm.linear	3	187243585	ARIC
SeqId_3607_71	DKK3	Q9UBP4	/data/Dutta_lab/aric/EA/SeqId_3607_71.PHENO1.glm.linear	11	11968746	ARIC
SeqId_3616_3	GNS	P15586	/data/Dutta_lab/aric/EA/SeqId_3616_3.PHENO1.glm.linear	12	64729154	ARIC
SeqId_3617_80	HGFAC	Q04756	/data/Dutta_lab/aric/EA/SeqId_3617_80.PHENO1.glm.linear	4	3441887	ARIC
SeqId_3620_67	IL22RA1	Q8N6P7	/data/Dutta_lab/aric/EA/SeqId_3620_67.PHENO1.glm.linear	1	24143140	ARIC
SeqId_3622_33	LGMN	Q99538	/data/Dutta_lab/aric/EA/SeqId_3622_33.PHENO1.glm.linear	14	92704905	ARIC
SeqId_3623_84	LY86	O95711	/data/Dutta_lab/aric/EA/SeqId_3623_84.PHENO1.glm.linear	6	6588108	ARIC
SeqId_3627_71	MMEL1	Q495T6	/data/Dutta_lab/aric/EA/SeqId_3627_71.PHENO1.glm.linear	1	2592678	ARIC
SeqId_3628_3	MAP2K2	P36507	/data/Dutta_lab/aric/EA/SeqId_3628_3.PHENO1.glm.linear	19	4100072	ARIC
SeqId_3629_60	CDC42BPB	Q9Y5S2	/data/Dutta_lab/aric/EA/SeqId_3629_60.PHENO1.glm.linear	14	102940726	ARIC
SeqId_3640_14	LRPAP1	P30533	/data/Dutta_lab/aric/EA/SeqId_3640_14.PHENO1.glm.linear	4	3532149	ARIC
SeqId_3651_50	KDR	P35968	/data/Dutta_lab/aric/EA/SeqId_3651_50.PHENO1.glm.linear	4	55096720	ARIC
SeqId_3685_53	MFRP	Q9BY79	/data/Dutta_lab/aric/EA/SeqId_3685_53.PHENO1.glm.linear	11	119342980	ARIC
SeqId_3708_62	A2M	P01023	/data/Dutta_lab/aric/EA/SeqId_3708_62.PHENO1.glm.linear	12	9068955	ARIC
SeqId_3710_49	PLG	P00747	/data/Dutta_lab/aric/EA/SeqId_3710_49.PHENO1.glm.linear	6	160702238	ARIC
SeqId_3719_2	CDKN1B	P46527	/data/Dutta_lab/aric/EA/SeqId_3719_2.PHENO1.glm.linear	12	12715058	ARIC
SeqId_3723_1	NPPB	P16860	/data/Dutta_lab/aric/EA/SeqId_3723_1.PHENO1.glm.linear	1	11858945	ARIC
SeqId_3727_35	PYY	P10082	/data/Dutta_lab/aric/EA/SeqId_3727_35.PHENO1.glm.linear	17	43953940	ARIC
SeqId_3728_52	SCT	P09683	/data/Dutta_lab/aric/EA/SeqId_3728_52.PHENO1.glm.linear	11	627181	ARIC
SeqId_3730_81	TNFRSF4	P43489	/data/Dutta_lab/aric/EA/SeqId_3730_81.PHENO1.glm.linear	1	1213498	ARIC
SeqId_3738_54	CSF1	P09603	/data/Dutta_lab/aric/EA/SeqId_3738_54.PHENO1.glm.linear	1	109910242	ARIC
SeqId_3758_68	PROC	P04070	/data/Dutta_lab/aric/EA/SeqId_3758_68.PHENO1.glm.linear	2	127418427	ARIC
SeqId_3761_4	PTGS2	P35354	/data/Dutta_lab/aric/EA/SeqId_3761_4.PHENO1.glm.linear	1	186675869	ARIC
SeqId_3773_15	TEK	Q02763	/data/Dutta_lab/aric/EA/SeqId_3773_15.PHENO1.glm.linear	9	27109141	ARIC
SeqId_3795_6	ADAM9	Q13443	/data/Dutta_lab/aric/EA/SeqId_3795_6.PHENO1.glm.linear	8	38996869	ARIC
SeqId_3796_79	ANGPTL4	Q9BY76	/data/Dutta_lab/aric/EA/SeqId_3796_79.PHENO1.glm.linear	19	8363289	ARIC
SeqId_3797_1	CDH2	P19022	/data/Dutta_lab/aric/EA/SeqId_3797_1.PHENO1.glm.linear	18	28036585	ARIC
SeqId_3798_71	CA9	Q16790	/data/Dutta_lab/aric/EA/SeqId_3798_71.PHENO1.glm.linear	9	35673918	ARIC
SeqId_3799_11	CA3	P07451	/data/Dutta_lab/aric/EA/SeqId_3799_11.PHENO1.glm.linear	8	85373436	ARIC
SeqId_3800_71	CKB	P12277	/data/Dutta_lab/aric/EA/SeqId_3800_71.PHENO1.glm.linear	14	103520728	ARIC
SeqId_3803_10	CST5	P28325	/data/Dutta_lab/aric/EA/SeqId_3803_10.PHENO1.glm.linear	20	23879748	ARIC
SeqId_3805_16	ESM1	Q9NQ30	/data/Dutta_lab/aric/EA/SeqId_3805_16.PHENO1.glm.linear	5	54985593	ARIC
SeqId_3806_55	EPHA5	P54756	/data/Dutta_lab/aric/EA/SeqId_3806_55.PHENO1.glm.linear	4	65669935	ARIC
SeqId_3807_1	FGF23	Q9GZV9	/data/Dutta_lab/aric/EA/SeqId_3807_1.PHENO1.glm.linear	12	4374408	ARIC
SeqId_3808_76	FGFR2	P21802	/data/Dutta_lab/aric/EA/SeqId_3808_76.PHENO1.glm.linear	10	121480485	ARIC
SeqId_3809_1	FGFR3	P22607	/data/Dutta_lab/aric/EA/SeqId_3809_1.PHENO1.glm.linear	4	1793293	ARIC
SeqId_3810_50	FGR	P09769	/data/Dutta_lab/aric/EA/SeqId_3810_50.PHENO1.glm.linear	1	27624062	ARIC
SeqId_3813_3	FYN	P06241	/data/Dutta_lab/aric/EA/SeqId_3813_3.PHENO1.glm.linear	6	111676544	ARIC
SeqId_3815_14	IL12RB2	Q99665	/data/Dutta_lab/aric/EA/SeqId_3815_14.PHENO1.glm.linear	1	67307364	ARIC
SeqId_3817_18	PRKCQ	Q04759	/data/Dutta_lab/aric/EA/SeqId_3817_18.PHENO1.glm.linear	10	6512172	ARIC
SeqId_3820_68	MAPKAPK2	P49137	/data/Dutta_lab/aric/EA/SeqId_3820_68.PHENO1.glm.linear	1	206684944	ARIC
SeqId_3821_28	MAPKAPK5	Q8IW41	/data/Dutta_lab/aric/EA/SeqId_3821_28.PHENO1.glm.linear	12	111842228	ARIC
SeqId_3822_54	MAPKAPK3	Q16644	/data/Dutta_lab/aric/EA/SeqId_3822_54.PHENO1.glm.linear	3	50611520	ARIC
SeqId_3823_9	MATK	P42679	/data/Dutta_lab/aric/EA/SeqId_3823_9.PHENO1.glm.linear	19	3783918	ARIC
SeqId_3825_18	MAPK8	P45983	/data/Dutta_lab/aric/EA/SeqId_3825_18.PHENO1.glm.linear	10	48306639	ARIC
SeqId_3827_22	PAK6	Q9NQU5	/data/Dutta_lab/aric/EA/SeqId_3827_22.PHENO1.glm.linear	15	40217428	ARIC
SeqId_3831_21	PTEN	P60484	/data/Dutta_lab/aric/EA/SeqId_3831_21.PHENO1.glm.linear	10	87863625	ARIC
SeqId_3832_51	PTK6	Q13882	/data/Dutta_lab/aric/EA/SeqId_3832_51.PHENO1.glm.linear	20	63537370	ARIC
SeqId_3835_11	TLR2	O60603	/data/Dutta_lab/aric/EA/SeqId_3835_11.PHENO1.glm.linear	4	153684070	ARIC
SeqId_3836_51	UFM1	P61960	/data/Dutta_lab/aric/EA/SeqId_3836_51.PHENO1.glm.linear	13	38349849	ARIC
SeqId_3837_6	ZAP70	P43403	/data/Dutta_lab/aric/EA/SeqId_3837_6.PHENO1.glm.linear	2	97713560	ARIC
SeqId_3839_60	AIP	O00170	/data/Dutta_lab/aric/EA/SeqId_3839_60.PHENO1.glm.linear	11	67483026	ARIC
SeqId_3844_2	PPIA	P62937	/data/Dutta_lab/aric/EA/SeqId_3844_2.PHENO1.glm.linear	7	44796680	ARIC
SeqId_3845_51	DYNLRB1	Q9NP97	/data/Dutta_lab/aric/EA/SeqId_3845_51.PHENO1.glm.linear	20	34516409	ARIC
SeqId_3847_56	ETHE1	O95571	/data/Dutta_lab/aric/EA/SeqId_3847_56.PHENO1.glm.linear	19	43527192	ARIC
SeqId_3852_19	DNAJB1	P25685	/data/Dutta_lab/aric/EA/SeqId_3852_19.PHENO1.glm.linear	19	14517569	ARIC
SeqId_3853_56	MDH1	P40925	/data/Dutta_lab/aric/EA/SeqId_3853_56.PHENO1.glm.linear	2	63588609	ARIC
SeqId_3854_24	NACA	Q13765	/data/Dutta_lab/aric/EA/SeqId_3854_24.PHENO1.glm.linear	12	56713396	ARIC
SeqId_3855_56	PRDX1	Q06830	/data/Dutta_lab/aric/EA/SeqId_3855_56.PHENO1.glm.linear	1	45521854	ARIC
SeqId_3858_5	ACP1	P24666	/data/Dutta_lab/aric/EA/SeqId_3858_5.PHENO1.glm.linear	2	264140	ARIC
SeqId_3859_50	PSMA1	P25786	/data/Dutta_lab/aric/EA/SeqId_3859_50.PHENO1.glm.linear	11	14511031	ARIC
SeqId_3860_7	PSMA6	P60900	/data/Dutta_lab/aric/EA/SeqId_3860_7.PHENO1.glm.linear	14	35278633	ARIC
SeqId_3864_5	RPS7	P62081	/data/Dutta_lab/aric/EA/SeqId_3864_5.PHENO1.glm.linear	2	3575260	ARIC
SeqId_3866_7	SBDS	Q9Y3A5	/data/Dutta_lab/aric/EA/SeqId_3866_7.PHENO1.glm.linear	7	66994366	ARIC
SeqId_3867_49	SEZ6L2	Q6UXD5	/data/Dutta_lab/aric/EA/SeqId_3867_49.PHENO1.glm.linear	16	29886019	ARIC
SeqId_3868_8	SGTA	O43765	/data/Dutta_lab/aric/EA/SeqId_3868_8.PHENO1.glm.linear	19	2759542	ARIC
SeqId_3872_2	TPT1	P13693	/data/Dutta_lab/aric/EA/SeqId_3872_2.PHENO1.glm.linear	13	45339533	ARIC
SeqId_3873_51	TPO	P07202	/data/Dutta_lab/aric/EA/SeqId_3873_51.PHENO1.glm.linear	2	1374066	ARIC
SeqId_3874_8	UBE2L3	P68036	/data/Dutta_lab/aric/EA/SeqId_3874_8.PHENO1.glm.linear	22	21549447	ARIC
SeqId_3875_62	ARID3A	Q99856	/data/Dutta_lab/aric/EA/SeqId_3875_62.PHENO1.glm.linear	19	925781	ARIC
SeqId_3879_50	CDC37	Q16543	/data/Dutta_lab/aric/EA/SeqId_3879_50.PHENO1.glm.linear	19	10393413	ARIC
SeqId_3881_49	DYNLL1	P63167	/data/Dutta_lab/aric/EA/SeqId_3881_49.PHENO1.glm.linear	12	120469850	ARIC
SeqId_3887_90	KPNB1	Q14974	/data/Dutta_lab/aric/EA/SeqId_3887_90.PHENO1.glm.linear	17	47649476	ARIC
SeqId_3888_8	ING1	Q9UK53	/data/Dutta_lab/aric/EA/SeqId_3888_8.PHENO1.glm.linear	13	110712736	ARIC
SeqId_3889_64	LMNB1	P20700	/data/Dutta_lab/aric/EA/SeqId_3889_64.PHENO1.glm.linear	5	126776623	ARIC
SeqId_3890_8	LDHB	P07195	/data/Dutta_lab/aric/EA/SeqId_3890_8.PHENO1.glm.linear	12	21637374	ARIC
SeqId_3891_56	MBD4	O95243	/data/Dutta_lab/aric/EA/SeqId_3891_56.PHENO1.glm.linear	3	129433553	ARIC
SeqId_3892_21	MED1	Q15648	/data/Dutta_lab/aric/EA/SeqId_3892_21.PHENO1.glm.linear	17	39431236	ARIC
SeqId_3893_64	MSLN	Q13421	/data/Dutta_lab/aric/EA/SeqId_3893_64.PHENO1.glm.linear	16	760734	ARIC
SeqId_3894_15	NAGK	Q9UJ70	/data/Dutta_lab/aric/EA/SeqId_3894_15.PHENO1.glm.linear	2	71064344	ARIC
SeqId_3896_5	PGAM1	P18669	/data/Dutta_lab/aric/EA/SeqId_3896_5.PHENO1.glm.linear	10	97426191	ARIC
SeqId_3897_61	PDXP	Q96GD0	/data/Dutta_lab/aric/EA/SeqId_3897_61.PHENO1.glm.linear	22	37658723	ARIC
SeqId_3898_5	PSMD7	P51665	/data/Dutta_lab/aric/EA/SeqId_3898_5.PHENO1.glm.linear	16	74296814	ARIC
SeqId_3902_21	SKP1	P63208	/data/Dutta_lab/aric/EA/SeqId_3902_21.PHENO1.glm.linear	5	134161897	ARIC
SeqId_3903_49	SNX4	O95219	/data/Dutta_lab/aric/EA/SeqId_3903_49.PHENO1.glm.linear	3	125460801	ARIC
SeqId_3905_62	UBE2N	P61088	/data/Dutta_lab/aric/EA/SeqId_3905_62.PHENO1.glm.linear	12	93407323	ARIC
SeqId_4122_12	DDR1	Q08345	/data/Dutta_lab/aric/EA/SeqId_4122_12.PHENO1.glm.linear	6	30876421	ARIC
SeqId_4123_60	FGF4	P08620	/data/Dutta_lab/aric/EA/SeqId_4123_60.PHENO1.glm.linear	11	69775164	ARIC
SeqId_4124_24	HSPA1A	P0DMV8	/data/Dutta_lab/aric/EA/SeqId_4124_24.PHENO1.glm.linear	6	31815543	ARIC
SeqId_4125_52	AGER	Q15109	/data/Dutta_lab/aric/EA/SeqId_4125_52.PHENO1.glm.linear	6	32181635	ARIC
SeqId_4126_22	BPI	P17213	/data/Dutta_lab/aric/EA/SeqId_4126_22.PHENO1.glm.linear	20	38304150	ARIC
SeqId_4127_75	C6	P13671	/data/Dutta_lab/aric/EA/SeqId_4127_75.PHENO1.glm.linear	5	41155104	ARIC
SeqId_4128_27	CCL24	O00175	/data/Dutta_lab/aric/EA/SeqId_4128_27.PHENO1.glm.linear	7	75813806	ARIC
SeqId_4129_72	CFB	P00751	/data/Dutta_lab/aric/EA/SeqId_4129_72.PHENO1.glm.linear	6	31945650	ARIC
SeqId_4130_71	FGF6	P10767	/data/Dutta_lab/aric/EA/SeqId_4130_71.PHENO1.glm.linear	12	4428715	ARIC
SeqId_4132_27	FST	P19883	/data/Dutta_lab/aric/EA/SeqId_4132_27.PHENO1.glm.linear	5	53480626	ARIC
SeqId_4133_54	GZMB	P10144	/data/Dutta_lab/aric/EA/SeqId_4133_54.PHENO1.glm.linear	14	24634160	ARIC
SeqId_4135_84	IGHE IGK@ IGL@	P01854	/data/Dutta_lab/aric/EA/SeqId_4135_84.PHENO1.glm.linear	14	105601728	ARIC
SeqId_4136_40	IL17D	Q8TAD2	/data/Dutta_lab/aric/EA/SeqId_4136_40.PHENO1.glm.linear	13	20702127	ARIC
SeqId_4137_57	IL25	Q9H293	/data/Dutta_lab/aric/EA/SeqId_4137_57.PHENO1.glm.linear	14	23372809	ARIC
SeqId_4138_25	IL20	Q9NYY1	/data/Dutta_lab/aric/EA/SeqId_4138_25.PHENO1.glm.linear	1	206865354	ARIC
SeqId_4140_3	IL7	P13232	/data/Dutta_lab/aric/EA/SeqId_4140_3.PHENO1.glm.linear	8	78738570	ARIC
SeqId_4141_79	CXCL10	P02778	/data/Dutta_lab/aric/EA/SeqId_4141_79.PHENO1.glm.linear	4	76023497	ARIC
SeqId_4143_74	XCL1	P47992	/data/Dutta_lab/aric/EA/SeqId_4143_74.PHENO1.glm.linear	1	168576605	ARIC
SeqId_4144_13	CCL13	Q99616	/data/Dutta_lab/aric/EA/SeqId_4144_13.PHENO1.glm.linear	17	34356480	ARIC
SeqId_4145_58	NTF3	P20783	/data/Dutta_lab/aric/EA/SeqId_4145_58.PHENO1.glm.linear	12	5432108	ARIC
SeqId_4146_58	NTF4	P34130	/data/Dutta_lab/aric/EA/SeqId_4146_58.PHENO1.glm.linear	19	49061997	ARIC
SeqId_4148_49	PAPPA	Q13219	/data/Dutta_lab/aric/EA/SeqId_4148_49.PHENO1.glm.linear	9	116153791	ARIC
SeqId_4149_8	PDGFB	P01127	/data/Dutta_lab/aric/EA/SeqId_4149_8.PHENO1.glm.linear	22	39240909	ARIC
SeqId_4150_75	PLG	P00747	/data/Dutta_lab/aric/EA/SeqId_4150_75.PHENO1.glm.linear	6	160702238	ARIC
SeqId_4151_6	PLG	P00747	/data/Dutta_lab/aric/EA/SeqId_4151_6.PHENO1.glm.linear	6	160702238	ARIC
SeqId_4152_58	KLKB1	P03952	/data/Dutta_lab/aric/EA/SeqId_4152_58.PHENO1.glm.linear	4	186208979	ARIC
SeqId_4153_11	SERPINA3	P01011	/data/Dutta_lab/aric/EA/SeqId_4153_11.PHENO1.glm.linear	14	94612384	ARIC
SeqId_4154_57	SELP	P16109	/data/Dutta_lab/aric/EA/SeqId_4154_57.PHENO1.glm.linear	1	169591570	ARIC
SeqId_4155_3	TNC	P24821	/data/Dutta_lab/aric/EA/SeqId_4155_3.PHENO1.glm.linear	9	115035896	ARIC
SeqId_4156_74	TGFB2	P61812	/data/Dutta_lab/aric/EA/SeqId_4156_74.PHENO1.glm.linear	1	218345336	ARIC
SeqId_4157_2	F2	P00734	/data/Dutta_lab/aric/EA/SeqId_4157_2.PHENO1.glm.linear	11	46719196	ARIC
SeqId_4158_54	PLAU	P00749	/data/Dutta_lab/aric/EA/SeqId_4158_54.PHENO1.glm.linear	10	73909177	ARIC
SeqId_4159_130	CFH	P08603	/data/Dutta_lab/aric/EA/SeqId_4159_130.PHENO1.glm.linear	1	196652043	ARIC
SeqId_4160_49	MMP2	P08253	/data/Dutta_lab/aric/EA/SeqId_4160_49.PHENO1.glm.linear	16	55389700	ARIC
SeqId_4162_54	TF	P02787	/data/Dutta_lab/aric/EA/SeqId_4162_54.PHENO1.glm.linear	3	133746040	ARIC
SeqId_4163_5	H2AFZ	P0C0S5	/data/Dutta_lab/aric/EA/SeqId_4163_5.PHENO1.glm.linear	4	99950254	ARIC
SeqId_4179_57	YWHAG	P61981	/data/Dutta_lab/aric/EA/SeqId_4179_57.PHENO1.glm.linear	7	76358991	ARIC
SeqId_4184_43	EIF4EBP2	Q13542	/data/Dutta_lab/aric/EA/SeqId_4184_43.PHENO1.glm.linear	10	70404145	ARIC
SeqId_4187_49	PGD	P52209	/data/Dutta_lab/aric/EA/SeqId_4187_49.PHENO1.glm.linear	1	10398592	ARIC
SeqId_4188_1	AKR7A2	O43488	/data/Dutta_lab/aric/EA/SeqId_4188_1.PHENO1.glm.linear	1	19308505	ARIC
SeqId_4192_10	AKR1A1	P14550	/data/Dutta_lab/aric/EA/SeqId_4192_10.PHENO1.glm.linear	1	45550543	ARIC
SeqId_4194_26	ANP32B	Q92688	/data/Dutta_lab/aric/EA/SeqId_4194_26.PHENO1.glm.linear	9	97983341	ARIC
SeqId_4203_50	CFL1	P23528	/data/Dutta_lab/aric/EA/SeqId_4203_50.PHENO1.glm.linear	11	65824103	ARIC
SeqId_4209_60	VTA1	Q9NP79	/data/Dutta_lab/aric/EA/SeqId_4209_60.PHENO1.glm.linear	6	142147162	ARIC
SeqId_4212_5	EPS15L1	Q9UBC2	/data/Dutta_lab/aric/EA/SeqId_4212_5.PHENO1.glm.linear	19	16361953	ARIC
SeqId_4220_39	FER	P16591	/data/Dutta_lab/aric/EA/SeqId_4220_39.PHENO1.glm.linear	5	108747841	ARIC
SeqId_4224_7	SYNCRIP	O60506	/data/Dutta_lab/aric/EA/SeqId_4224_7.PHENO1.glm.linear	6	85642886	ARIC
SeqId_4230_1	EIF4G2	P78344	/data/Dutta_lab/aric/EA/SeqId_4230_1.PHENO1.glm.linear	11	10799361	ARIC
SeqId_4232_19	IGF1R	P08069	/data/Dutta_lab/aric/EA/SeqId_4232_19.PHENO1.glm.linear	15	98648539	ARIC
SeqId_4234_8	IL1RL1	Q01638	/data/Dutta_lab/aric/EA/SeqId_4234_8.PHENO1.glm.linear	2	102311502	ARIC
SeqId_4237_70	LCMT1	Q9UIC8	/data/Dutta_lab/aric/EA/SeqId_4237_70.PHENO1.glm.linear	16	25111731	ARIC
SeqId_4240_31	PKM2	P14618	/data/Dutta_lab/aric/EA/SeqId_4240_31.PHENO1.glm.linear	15	72202053	ARIC
SeqId_4249_64	NME2	P22392	/data/Dutta_lab/aric/EA/SeqId_4249_64.PHENO1.glm.linear	17	51165435	ARIC
SeqId_4250_23	NSFL1C	Q9UNZ2	/data/Dutta_lab/aric/EA/SeqId_4250_23.PHENO1.glm.linear	20	1457090	ARIC
SeqId_4254_6	NUDCD3	Q8IVD9	/data/Dutta_lab/aric/EA/SeqId_4254_6.PHENO1.glm.linear	7	44392508	ARIC
SeqId_4258_15	PA2G4	Q9UQ80	/data/Dutta_lab/aric/EA/SeqId_4258_15.PHENO1.glm.linear	12	56104537	ARIC
SeqId_4261_55	PON1	P27169	/data/Dutta_lab/aric/EA/SeqId_4261_55.PHENO1.glm.linear	7	95302403	ARIC
SeqId_4267_81	PES1	O00541	/data/Dutta_lab/aric/EA/SeqId_4267_81.PHENO1.glm.linear	22	30579923	ARIC
SeqId_4271_75	PFDN5	Q99471	/data/Dutta_lab/aric/EA/SeqId_4271_75.PHENO1.glm.linear	12	53295291	ARIC
SeqId_4272_46	GPI	P06744	/data/Dutta_lab/aric/EA/SeqId_4272_46.PHENO1.glm.linear	19	34359480	ARIC
SeqId_4276_10	PEBP1	P30086	/data/Dutta_lab/aric/EA/SeqId_4276_10.PHENO1.glm.linear	12	118136124	ARIC
SeqId_4278_14	P4HB	P07237	/data/Dutta_lab/aric/EA/SeqId_4278_14.PHENO1.glm.linear	17	81845456	ARIC
SeqId_4280_47	PSMA2	P25787	/data/Dutta_lab/aric/EA/SeqId_4280_47.PHENO1.glm.linear	7	42927464	ARIC
SeqId_4282_3	RAN	P62826	/data/Dutta_lab/aric/EA/SeqId_4282_3.PHENO1.glm.linear	12	130872037	ARIC
SeqId_4284_18	RBM39	Q14498	/data/Dutta_lab/aric/EA/SeqId_4284_18.PHENO1.glm.linear	20	35705399	ARIC
SeqId_4292_5	NAPA	P54920	/data/Dutta_lab/aric/EA/SeqId_4292_5.PHENO1.glm.linear	19	47491475	ARIC
SeqId_4294_16	SPHK1	Q9NYA1	/data/Dutta_lab/aric/EA/SeqId_4294_16.PHENO1.glm.linear	17	76376584	ARIC
SeqId_4297_62	SPON1	Q9HCB6	/data/Dutta_lab/aric/EA/SeqId_4297_62.PHENO1.glm.linear	11	13962723	ARIC
SeqId_4301_58	TK1	P04183	/data/Dutta_lab/aric/EA/SeqId_4301_58.PHENO1.glm.linear	17	78187021	ARIC
SeqId_4304_18	LCORL	Q8N3X6	/data/Dutta_lab/aric/EA/SeqId_4304_18.PHENO1.glm.linear	4	17962032	ARIC
SeqId_4306_4	TKT	P29401	/data/Dutta_lab/aric/EA/SeqId_4306_4.PHENO1.glm.linear	3	53229437	ARIC
SeqId_4309_59	TPI1	P60174	/data/Dutta_lab/aric/EA/SeqId_4309_59.PHENO1.glm.linear	12	6867119	ARIC
SeqId_4314_12	DCTPP1	Q9H773	/data/Dutta_lab/aric/EA/SeqId_4314_12.PHENO1.glm.linear	16	30429289	ARIC
SeqId_4318_12	PTPN6	P29350	/data/Dutta_lab/aric/EA/SeqId_4318_12.PHENO1.glm.linear	12	6946468	ARIC
SeqId_4322_28	AMN	Q9BXJ7	/data/Dutta_lab/aric/EA/SeqId_4322_28.PHENO1.glm.linear	14	102922656	ARIC
SeqId_4324_33	CST2	P09228	/data/Dutta_lab/aric/EA/SeqId_4324_33.PHENO1.glm.linear	20	23826729	ARIC
SeqId_4328_2	BOC	Q9BWV1	/data/Dutta_lab/aric/EA/SeqId_4328_2.PHENO1.glm.linear	3	113211003	ARIC
SeqId_4332_6	CLEC1B	Q9P126	/data/Dutta_lab/aric/EA/SeqId_4332_6.PHENO1.glm.linear	12	9997163	ARIC
SeqId_4337_49	CRP	P02741	/data/Dutta_lab/aric/EA/SeqId_4337_49.PHENO1.glm.linear	1	159713767	ARIC
SeqId_4342_10	ICAM1	P05362	/data/Dutta_lab/aric/EA/SeqId_4342_10.PHENO1.glm.linear	19	10271093	ARIC
SeqId_4355_13	DAPK2	Q9UIK4	/data/Dutta_lab/aric/EA/SeqId_4355_13.PHENO1.glm.linear	15	63911943	ARIC
SeqId_4359_87	DYRK3	O43781	/data/Dutta_lab/aric/EA/SeqId_4359_87.PHENO1.glm.linear	1	206635536	ARIC
SeqId_4374_45	GDF15	Q99988	/data/Dutta_lab/aric/EA/SeqId_4374_45.PHENO1.glm.linear	19	18374731	ARIC
SeqId_4389_2	DHH	O43323	/data/Dutta_lab/aric/EA/SeqId_4389_2.PHENO1.glm.linear	12	49094801	ARIC
SeqId_4392_54	FGF12	P61328	/data/Dutta_lab/aric/EA/SeqId_4392_54.PHENO1.glm.linear	3	192268749	ARIC
SeqId_4394_71	FGF8	P55075	/data/Dutta_lab/aric/EA/SeqId_4394_71.PHENO1.glm.linear	10	101775900	ARIC
SeqId_4396_54	IFNL1	Q8IU54	/data/Dutta_lab/aric/EA/SeqId_4396_54.PHENO1.glm.linear	19	39296407	ARIC
SeqId_4397_26	IFNL2	Q8IZJ0	/data/Dutta_lab/aric/EA/SeqId_4397_26.PHENO1.glm.linear	19	39268514	ARIC
SeqId_4407_10	MST1	P26927	/data/Dutta_lab/aric/EA/SeqId_4407_10.PHENO1.glm.linear	3	49685090	ARIC
